2024-07-29 17:51:21 [MAIN] program start
2024-07-29 17:51:21 [SETTING] robot_obs_decel_gain doesn't exist
2024-07-29 17:51:21 robot config loaded
2024-07-29 17:51:21 try to connect LAN2CAN 192.168.2.100:1977
2024-07-29 17:51:21 l2c loop2 start
2024-07-29 17:51:21 [L2C] connected
2024-07-29 17:51:21 l2c loop start
2024-07-29 17:51:21 [UNIMAP] cloud loaded
2024-07-29 17:51:21 [UNIMAP] map load, spent time: 0.122777
2024-07-29 17:51:21 [MAIN] Initilized
2024-07-29 17:51:22 [LIDAR] mobile pose time drift, back, dt: 0.236337
2024-07-29 17:51:25 [MAIN] program start
2024-07-29 17:51:25 [SETTING] robot_obs_decel_gain doesn't exist
2024-07-29 17:51:25 robot config loaded
2024-07-29 17:51:26 try to connect LAN2CAN 192.168.2.100:1977
2024-07-29 17:51:26 l2c loop2 start
2024-07-29 17:51:26 [UNIMAP] cloud loaded
2024-07-29 17:51:26 [UNIMAP] map load, spent time: 0.097641
2024-07-29 17:51:26 [MAIN] Initilized
2024-07-29 17:51:26 [LIDAR] mobile pose time drift, front, dt: 0.703113
2024-07-29 17:51:27 [L2C] connected
2024-07-29 17:51:27 l2c loop start
2024-07-29 17:51:28 [LIDAR] mobile pose time drift, front, dt: 0.417539
2024-07-29 17:51:29 [LIDAR] mobile pose time drift, back, dt: 0.952525
2024-07-29 17:51:29 [LIDAR] mobile pose time drift, front, dt: 1.487935
2024-07-29 17:51:30 [LIDAR] mobile pose time drift, back, dt: 2.024626
2024-07-29 17:51:30 [LIDAR] mobile pose time drift, front, dt: 2.566484
2024-07-29 17:51:31 [LIDAR] mobile pose time drift, back, dt: 3.100621
2024-07-29 17:51:31 [LIDAR] mobile pose time drift, front, dt: 3.633611
2024-07-29 17:51:32 [LIDAR] mobile pose time drift, back, dt: 4.165189
2024-07-29 17:51:32 [LIDAR] mobile pose time drift, front, dt: 4.701200
2024-07-29 17:51:33 [LIDAR] mobile pose time drift, back, dt: 5.233945
2024-07-29 17:51:34 [LIDAR] mobile pose time drift, front, dt: 5.770221
2024-07-29 17:51:34 [LIDAR] mobile pose time drift, back, dt: 6.306879
2024-07-29 17:51:35 [LIDAR] mobile pose time drift, front, dt: 6.839365
2024-07-29 17:51:35 [LIDAR] mobile pose time drift, front, dt: 7.376197
2024-07-29 17:51:36 [LIDAR] mobile pose time drift, back, dt: 7.910137
2024-07-29 17:51:36 [LIDAR] mobile pose time drift, front, dt: 8.443730
2024-07-29 17:51:37 [LIDAR] mobile pose time drift, back, dt: 8.981216
2024-07-29 17:51:37 [LIDAR] mobile pose time drift, front, dt: 9.529259
